source_id,body_start_marker,body_start_marker_occurrence,body_end_marker,trim_trailing_blank_lines,notes
homer-iliad-en-butler-pg2199,BOOK I.,2,*** END OF THE PROJECT GUTENBERG EBOOK THE ILIAD ***,yes,Second BOOK I. skips Project Gutenberg title and contents; end marker removes Project Gutenberg license/back matter.
homer-iliad-en-pope-pg6130,THE ILIAD.,1,CONCLUDING NOTE.,yes,"Starts after Buckley introduction and Pope preface; end marker removes concluding note, notes, and Project Gutenberg license/back matter."
