candidate_id,work_id,source_edition_id,translation_source_id,book,segment_index,alignment_level,proposal_method,source_start_ref,source_end_ref,source_line_count,source_editorially_deleted_line_count,target_paragraph,target_start_token,target_end_token,target_token_count,target_start_char,target_end_char,source_text,target_text,source_prepared_sha256,target_book_text_sha256,translation_prepared_sha256,proposal_status,review_status,paper_facing_eligible,analysis_status
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-05--segment-001,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,5,1,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,5.1,5.8,8,0,1,1,80,80,0,458,"ἔνθʼ αὖ Τυδεΐδῃ Διομήδεϊ Παλλὰς Ἀθήνη
δῶκε μένος καὶ θάρσος, ἵνʼ ἔκδηλος μετὰ πᾶσιν
Ἀργείοισι γένοιτο ἰδὲ κλέος ἐσθλὸν ἄροιτο·
δαῖέ οἱ ἐκ κόρυθός τε καὶ ἀσπίδος ἀκάματον πῦρ
ἀστέρʼ ὀπωρινῷ ἐναλίγκιον, ὅς τε μάλιστα
λαμπρὸν παμφαίνῃσι λελουμένος ὠκεανοῖο·
τοῖόν οἱ πῦρ δαῖεν ἀπὸ κρατός τε καὶ ὤμων,
ὦρσε δέ μιν κατὰ μέσσον ὅθι πλεῖστοι κλονέοντο.","Then Pallas Minerva put valour into the heart of Diomed, son of
      Tydeus, that he might excel all the other Argives, and cover
      himself with glory. She made a stream of fire flare from his
      shield and helmet like the star that shines most brilliantly in
      summer after its bath in the waters of Oceanus—even such a fire
      did she kindle upon his head and shoulders as she bade him speed
      into the thickest hurly-burly of the fight.",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,4ec147676593e007e9cbe6dec965adfead4731454a92ba55330ed25334c963c5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-05--segment-002,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,5,2,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,5.9,5.36,28,0,2,81,336,256,466,1948,"ἦν δέ τις ἐν Τρώεσσι Δάρης ἀφνειὸς ἀμύμων
ἱρεὺς Ἡφαίστοιο· δύω δέ οἱ υἱέες ἤστην
Φηγεὺς Ἰδαῖός τε μάχης εὖ εἰδότε πάσης.
τώ οἱ ἀποκρινθέντε ἐναντίω ὁρμηθήτην·
τὼ μὲν ἀφʼ ἵπποιιν, ὃ δʼ ἀπὸ χθονὸς ὄρνυτο πεζός.
οἳ δʼ ὅτε δὴ σχεδὸν ἦσαν ἐπʼ ἀλλήλοισιν ἰόντες
Φηγεύς ῥα πρότερος προΐει δολιχόσκιον ἔγχος·
Τυδεΐδεω δʼ ὑπὲρ ὦμον ἀριστερὸν ἤλυθʼ ἀκωκὴ
ἔγχεος, οὐδʼ ἔβαλʼ αὐτόν· ὃ δʼ ὕστερος ὄρνυτο χαλκῷ
Τυδεΐδης· τοῦ δʼ οὐχ ἅλιον βέλος ἔκφυγε χειρός,
ἀλλʼ ἔβαλε στῆθος μεταμάζιον, ὦσε δʼ ἀφʼ ἵππων.
Ἰδαῖος δʼ ἀπόρουσε λιπὼν περικαλλέα δίφρον,
οὐδʼ ἔτλη περιβῆναι ἀδελφειοῦ κταμένοιο·
οὐδὲ γὰρ οὐδέ κεν αὐτὸς ὑπέκφυγε κῆρα μέλαιναν,
ἀλλʼ Ἥφαιστος ἔρυτο, σάωσε δὲ νυκτὶ καλύψας,
ὡς δή οἱ μὴ πάγχυ γέρων ἀκαχήμενος εἴη.
ἵππους δʼ ἐξελάσας μεγαθύμου Τυδέος υἱὸς
δῶκεν ἑταίροισιν κατάγειν κοίλας ἐπὶ νῆας.
Τρῶες δὲ μεγάθυμοι ἐπεὶ ἴδον υἷε Δάρητος
τὸν μὲν ἀλευάμενον, τὸν δὲ κτάμενον παρʼ ὄχεσφι,
πᾶσιν ὀρίνθη θυμός· ἀτὰρ γλαυκῶπις Ἀθήνη
χειρὸς ἑλοῦσʼ ἐπέεσσι προσηύδα θοῦρον Ἄρηα·
Ἆρες Ἄρες βροτολοιγὲ μιαιφόνε τειχεσιπλῆτα
οὐκ ἂν δὴ Τρῶας μὲν ἐάσαιμεν καὶ Ἀχαιοὺς
μάρνασθʼ, ὁπποτέροισι πατὴρ Ζεὺς κῦδος ὀρέξῃ,
νῶϊ δὲ χαζώμεσθα, Διὸς δʼ ἀλεώμεθα μῆνιν;
ὣς εἰποῦσα μάχης ἐξήγαγε θοῦρον Ἄρηα·
τὸν μὲν ἔπειτα καθεῖσεν ἐπʼ ἠϊόεντι Σκαμάνδρῳ,","Now there was a certain rich and honourable man among the
      Trojans, priest of Vulcan, and his name was Dares. He had two
      sons, Phegeus and Idaeus, both of them skilled in all the arts of
      war. These two came forward from the main body of Trojans, and
      set upon Diomed, he being on foot, while they fought from their
      chariot. When they were close up to one another, Phegeus took aim
      first, but his spear went over Diomed’s left shoulder without
      hitting him. Diomed then threw, and his spear sped not in vain,
      for it hit Phegeus on the breast near the nipple, and he fell
      from his chariot. Idaeus did not dare to bestride his brother’s
      body, but sprang from the chariot and took to flight, or he would
      have shared his brother’s fate; whereon Vulcan saved him by
      wrapping him in a cloud of darkness, that his old father might
      not be utterly overwhelmed with grief; but the son of Tydeus
      drove off with the horses, and bade his followers take them to
      the ships. The Trojans were scared when they saw the two sons of
      Dares, one of them in fright and the other lying dead by his
      chariot. Minerva, therefore, took Mars by the hand and said,
      “Mars, Mars, bane of men, blood-stained stormer of cities, may we
      not now leave the Trojans and Achaeans to fight it out, and see
      to which of the two Jove will vouchsafe the victory? Let us go
      away, and thus avoid his anger.”",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,4ec147676593e007e9cbe6dec965adfead4731454a92ba55330ed25334c963c5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-05--segment-003,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,5,3,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,5.37,5.46,10,0,3,337,431,95,1956,2513,"Τρῶας δʼ ἔκλιναν Δαναοί· ἕλε δʼ ἄνδρα ἕκαστος
ἡγεμόνων· πρῶτος δὲ ἄναξ ἀνδρῶν Ἀγαμέμνων
ἀρχὸν Ἁλιζώνων Ὀδίον μέγαν ἔκβαλε δίφρου·
πρώτῳ γὰρ στρεφθέντι μεταφρένῳ ἐν δόρυ πῆξεν
ὤμων μεσσηγύς, διὰ δὲ στήθεσφιν ἔλασσε,
δούπησεν δὲ πεσών, ἀράβησε δὲ τεύχεʼ ἐπʼ αὐτῷ.
Ἰδομενεὺς δʼ ἄρα Φαῖστον ἐνήρατο Μῄονος υἱὸν
Βώρου, ὃς ἐκ Τάρνης ἐριβώλακος εἰληλούθει.
τὸν μὲν ἄρʼ Ἰδομενεὺς δουρικλυτὸς ἔγχεϊ μακρῷ
νύξʼ ἵππων ἐπιβησόμενον κατὰ δεξιὸν ὦμον·","So saying, she drew Mars out of the battle, and set him down upon
      the steep banks of the Scamander. Upon this the Danaans drove the
      Trojans back, and each one of their chieftains killed his man.
      First King Agamemnon flung mighty Odius, captain of the Halizoni,
      from his chariot. The spear of Agamemnon caught him on the broad
      of his back, just as he was turning in flight; it struck him
      between the shoulders and went right through his chest, and his
      armour rang rattling round him as he fell heavily to the ground.",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,4ec147676593e007e9cbe6dec965adfead4731454a92ba55330ed25334c963c5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-05--segment-004,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,5,4,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,5.47,5.50,4,0,4,432,473,42,2521,2777,"ἤριπε δʼ ἐξ ὀχέων, στυγερὸς δʼ ἄρα μιν σκότος εἷλε.
τὸν μὲν ἄρʼ Ἰδομενῆος ἐσύλευον θεράποντες·
υἱὸν δὲ Στροφίοιο Σκαμάνδριον αἵμονα θήρης
Ἀτρεΐδης Μενέλαος ἕλʼ ἔγχεϊ ὀξυόεντι","Then Idomeneus killed Phaesus, son of Borus the Meonian, who had
      come from Varne. Mighty Idomeneus speared him on the right
      shoulder as he was mounting his chariot, and the darkness of
      death enshrouded him as he fell heavily from the car.",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,4ec147676593e007e9cbe6dec965adfead4731454a92ba55330ed25334c963c5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-05--segment-005,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,5,5,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,5.51,5.61,11,0,5,474,572,99,2785,3375,"ἐσθλὸν θηρητῆρα· δίδαξε γὰρ Ἄρτεμις αὐτὴ
βάλλειν ἄγρια πάντα, τά τε τρέφει οὔρεσιν ὕλη·
ἀλλʼ οὔ οἱ τότε γε χραῖσμʼ Ἄρτεμις ἰοχέαιρα,
οὐδὲ ἑκηβολίαι ᾗσιν τὸ πρίν γε κέκαστο·
ἀλλά μιν Ἀτρεΐδης δουρικλειτὸς Μενέλαος
πρόσθεν ἕθεν φεύγοντα μετάφρενον οὔτασε δουρὶ
ὤμων μεσσηγύς, διὰ δὲ στήθεσφιν ἔλασσεν,
ἤριπε δὲ πρηνής, ἀράβησε δὲ τεύχεʼ ἐπʼ αὐτῷ.
Μηριόνης δὲ Φέρεκλον ἐνήρατο, τέκτονος υἱὸν
Ἁρμονίδεω, ὃς χερσὶν ἐπίστατο δαίδαλα πάντα
τεύχειν· ἔξοχα γάρ μιν ἐφίλατο Παλλὰς Ἀθήνη·","The squires of Idomeneus spoiled him of his armour, while
      Menelaus, son of Atreus, killed Scamandrius the son of Strophius,
      a mighty huntsman and keen lover of the chase. Diana herself had
      taught him how to kill every kind of wild creature that is bred
      in mountain forests, but neither she nor his famed skill in
      archery could now save him, for the spear of Menelaus struck him
      in the back as he was flying; it struck him between the shoulders
      and went right through his chest, so that he fell headlong and
      his armour rang rattling round him.",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,4ec147676593e007e9cbe6dec965adfead4731454a92ba55330ed25334c963c5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-05--segment-006,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,5,6,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,5.62,5.72,11,0,6,573,682,110,3383,4033,"ὃς καὶ Ἀλεξάνδρῳ τεκτήνατο νῆας ἐΐσας
ἀρχεκάκους, αἳ πᾶσι κακὸν Τρώεσσι γένοντο
οἷ τʼ αὐτῷ, ἐπεὶ οὔ τι θεῶν ἐκ θέσφατα ᾔδη.
τὸν μὲν Μηριόνης ὅτε δὴ κατέμαρπτε διώκων
βεβλήκει γλουτὸν κατὰ δεξιόν· ἣ δὲ διαπρὸ
ἀντικρὺ κατὰ κύστιν ὑπʼ ὀστέον ἤλυθʼ ἀκωκή·
γνὺξ δʼ ἔριπʼ οἰμώξας, θάνατος δέ μιν ἀμφεκάλυψε.
Πήδαιον δʼ ἄρʼ ἔπεφνε Μέγης Ἀντήνορος υἱὸν
ὅς ῥα νόθος μὲν ἔην, πύκα δʼ ἔτρεφε δῖα Θεανὼ
ἶσα φίλοισι τέκεσσι χαριζομένη πόσεϊ ᾧ.
τὸν μὲν Φυλεΐδης δουρὶ κλυτὸς ἐγγύθεν ἐλθὼν","Meriones then killed Phereclus the son of Tecton, who was the son
      of Hermon, a man whose hand was skilled in all manner of cunning
      workmanship, for Pallas Minerva had dearly loved him. He it was
      that made the ships for Alexandrus, which were the beginning of
      all mischief, and brought evil alike both on the Trojans and on
      Alexandrus himself; for he heeded not the decrees of heaven.
      Meriones overtook him as he was flying, and struck him on the
      right buttock. The point of the spear went through the bone into
      the bladder, and death came upon him as he cried aloud and fell
      forward on his knees.",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,4ec147676593e007e9cbe6dec965adfead4731454a92ba55330ed25334c963c5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-05--segment-007,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,5,7,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,5.73,5.80,8,0,7,683,754,72,4041,4424,"βεβλήκει κεφαλῆς κατὰ ἰνίον ὀξέϊ δουρί·
ἀντικρὺ δʼ ἀνʼ ὀδόντας ὑπὸ γλῶσσαν τάμε χαλκός·
ἤριπε δʼ ἐν κονίῃ, ψυχρὸν δʼ ἕλε χαλκὸν ὀδοῦσιν.
Εὐρύπυλος δʼ Εὐαιμονίδης Ὑψήνορα δῖον
υἱὸν ὑπερθύμου Δολοπίονος, ὅς ῥα Σκαμάνδρου
ἀρητὴρ ἐτέτυκτο, θεὸς δʼ ὣς τίετο δήμῳ,
τὸν μὲν ἄρʼ Εὐρύπυλος, Εὐαίμονος ἀγλαὸς υἱός,
πρόσθεν ἕθεν φεύγοντα μεταδρομάδην ἔλασʼ ὦμον","Meges, moreover, slew Pedaeus, son of Antenor, who, though he was
      a bastard, had been brought up by Theano as one of her own
      children, for the love she bore her husband. The son of Phyleus
      got close up to him and drove a spear into the nape of his neck:
      it went under his tongue all among his teeth, so he bit the cold
      bronze, and fell dead in the dust.",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,4ec147676593e007e9cbe6dec965adfead4731454a92ba55330ed25334c963c5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-05--segment-008,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,5,8,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,5.81,5.88,8,0,8,755,836,82,4432,4901,"φασγάνῳ ἀΐξας, ἀπὸ δʼ ἔξεσε χεῖρα βαρεῖαν·
αἱματόεσσα δὲ χεὶρ πεδίῳ πέσε· τὸν δὲ κατʼ ὄσσε
ἔλλαβε πορφύρεος θάνατος καὶ μοῖρα κραταιή.
ὣς οἳ μὲν πονέοντο κατὰ κρατερὴν ὑσμίνην·
Τυδεΐδην δʼ οὐκ ἂν γνοίης ποτέροισι μετείη
ἠὲ μετὰ Τρώεσσιν ὁμιλέοι ἦ μετʼ Ἀχαιοῖς.
θῦνε γὰρ ἂμ πεδίον ποταμῷ πλήθοντι ἐοικὼς
χειμάρρῳ, ὅς τʼ ὦκα ῥέων ἐκέδασσε γεφύρας·","And Eurypylus, son of Euaemon, killed Hypsenor, the son of noble
      Dolopion, who had been made priest of the river Scamander, and
      was honoured among the people as though he were a god. Eurypylus
      gave him chase as he was flying before him, smote him with his
      sword upon the arm, and lopped his strong hand from off it. The
      bloody hand fell to the ground, and the shades of death, with
      fate that no man can withstand, came over his eyes.",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,4ec147676593e007e9cbe6dec965adfead4731454a92ba55330ed25334c963c5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-05--segment-009,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,5,9,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,5.89,5.100,12,0,9,837,949,113,4909,5559,"τὸν δʼ οὔτʼ ἄρ τε γέφυραι ἐεργμέναι ἰσχανόωσιν,
οὔτʼ ἄρα ἕρκεα ἴσχει ἀλωάων ἐριθηλέων
ἐλθόντʼ ἐξαπίνης ὅτʼ ἐπιβρίσῃ Διὸς ὄμβρος·
πολλὰ δʼ ὑπʼ αὐτοῦ ἔργα κατήριπε κάλʼ αἰζηῶν·
ὣς ὑπὸ Τυδεΐδῃ πυκιναὶ κλονέοντο φάλαγγες
Τρώων, οὐδʼ ἄρα μιν μίμνον πολέες περ ἐόντες.
τὸν δʼ ὡς οὖν ἐνόησε Λυκάονος ἀγλαὸς υἱὸς
θύνοντʼ ἂμ πεδίον πρὸ ἕθεν κλονέοντα φάλαγγας,
αἶψʼ ἐπὶ Τυδεΐδῃ ἐτιταίνετο καμπύλα τόξα,
καὶ βάλʼ ἐπαΐσσοντα τυχὼν κατὰ δεξιὸν ὦμον
θώρηκος γύαλον· διὰ δʼ ἔπτατο πικρὸς ὀϊστός,
ἀντικρὺ δὲ διέσχε, παλάσσετο δʼ αἵματι θώρηξ.","Thus furiously did the battle rage between them. As for the son
      of Tydeus, you could not say whether he was more among the
      Achaeans or the Trojans. He rushed across the plain like a winter
      torrent that has burst its barrier in full flood; no dykes, no
      walls of fruitful vineyards can embank it when it is swollen with
      rain from heaven, but in a moment it comes tearing onward, and
      lays many a field waste that many a strong man’s hand has
      reclaimed—even so were the dense phalanxes of the Trojans driven
      in rout by the son of Tydeus, and many though they were, they
      dared not abide his onslaught.",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,4ec147676593e007e9cbe6dec965adfead4731454a92ba55330ed25334c963c5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-05--segment-010,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,5,10,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,5.101,5.110,10,0,10,950,1043,94,5567,6105,"τῷ δʼ ἐπὶ μακρὸν ἄϋσε Λυκάονος ἀγλαὸς υἱός·
ὄρνυσθε Τρῶες μεγάθυμοι κέντορες ἵππων·
βέβληται γὰρ ἄριστος Ἀχαιῶν, οὐδέ ἕ φημι
δήθʼ ἀνσχήσεσθαι κρατερὸν βέλος, εἰ ἐτεόν με
ὦρσεν ἄναξ Διὸς υἱὸς ἀπορνύμενον Λυκίηθεν.
ὣς ἔφατʼ εὐχόμενος· τὸν δʼ οὐ βέλος ὠκὺ δάμασσεν,
ἀλλʼ ἀναχωρήσας πρόσθʼ ἵπποιιν καὶ ὄχεσφιν
ἔστη, καὶ Σθένελον προσέφη Καπανήϊον υἱόν·
ὄρσο πέπον Καπανηϊάδη, καταβήσεο δίφρου,
ὄφρά μοι ἐξ ὤμοιο ἐρύσσῃς πικρὸν ὀϊστόν.","Now when the son of Lycaon saw him scouring the plain and driving
      the Trojans pell-mell before him, he aimed an arrow and hit the
      front part of his cuirass near the shoulder: the arrow went right
      through the metal and pierced the flesh, so that the cuirass was
      covered with blood. On this the son of Lycaon shouted in triumph,
      “Knights Trojans, come on; the bravest of the Achaeans is
      wounded, and he will not hold out much longer if King Apollo was
      indeed with me when I sped from Lycia hither.”",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,4ec147676593e007e9cbe6dec965adfead4731454a92ba55330ed25334c963c5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
