candidate_id,work_id,source_edition_id,translation_source_id,book,segment_index,alignment_level,proposal_method,source_start_ref,source_end_ref,source_line_count,source_editorially_deleted_line_count,target_paragraph,target_start_token,target_end_token,target_token_count,target_start_char,target_end_char,source_text,target_text,source_prepared_sha256,target_book_text_sha256,translation_prepared_sha256,proposal_status,review_status,paper_facing_eligible,analysis_status
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-01--segment-001,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,1,1,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,1.1,1.7,7,0,1,1,70,70,0,392,"μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος
οὐλομένην, ἣ μυρίʼ Ἀχαιοῖς ἄλγεʼ ἔθηκε,
πολλὰς δʼ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν
ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν
οἰωνοῖσί τε πᾶσι, Διὸς δʼ ἐτελείετο βουλή,
ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε
Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.","Sing, O goddess, the anger of Achilles son of Peleus, that
      brought countless ills upon the Achaeans. Many a brave soul did
      it send hurrying down to Hades, and many a hero did it yield a
      prey to dogs and vultures, for so were the counsels of Jove
      fulfilled from the day on which the son of Atreus, king of men,
      and great Achilles, first fell out with one another.",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,91731d8521f9f89792d8ca3b9d6dcbd03f41b4e37459da94bea7035812ed55d5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-01--segment-002,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,1,2,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,1.8,1.18,11,0,2,71,174,104,400,982,"τίς τʼ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;
Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆϊ χολωθεὶς
νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,
οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα
Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν
λυσόμενός τε θύγατρα φέρων τʼ ἀπερείσιʼ ἄποινα,
στέμματʼ ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος
χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούς,
Ἀτρεΐδα δὲ μάλιστα δύω, κοσμήτορε λαῶν·
Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,
ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματʼ ἔχοντες","And which of the gods was it that set them on to quarrel? It was
      the son of Jove and Leto; for he was angry with the king and sent
      a pestilence upon the host to plague the people, because the son
      of Atreus had dishonoured Chryses his priest. Now Chryses had
      come to the ships of the Achaeans to free his daughter, and had
      brought with him a great ransom: moreover he bore in his hand the
      sceptre of Apollo wreathed with a suppliant’s wreath, and he
      besought the Achaeans, but most of all the two sons of Atreus,
      who were their chiefs.",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,91731d8521f9f89792d8ca3b9d6dcbd03f41b4e37459da94bea7035812ed55d5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-01--segment-003,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,1,3,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,1.19,1.23,5,0,3,175,222,48,990,1255,"ἐκπέρσαι Πριάμοιο πόλιν, εὖ δʼ οἴκαδʼ ἱκέσθαι·
παῖδα δʼ ἐμοὶ λύσαιτε φίλην, τὰ δʼ ἄποινα δέχεσθαι,
ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα.
ἔνθʼ ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ
αἰδεῖσθαί θʼ ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα·","“Sons of Atreus,” he cried, “and all other Achaeans, may the gods
      who dwell in Olympus grant you to sack the city of Priam, and to
      reach your homes in safety; but free my daughter, and accept a
      ransom for her, in reverence to Apollo, son of Jove.”",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,91731d8521f9f89792d8ca3b9d6dcbd03f41b4e37459da94bea7035812ed55d5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-01--segment-004,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,1,4,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,1.24,1.35,12,0,4,223,330,108,1263,1863,"ἀλλʼ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,
ἀλλὰ κακῶς ἀφίει, κρατερὸν δʼ ἐπὶ μῦθον ἔτελλε·
μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω
ἢ νῦν δηθύνοντʼ ἢ ὕστερον αὖτις ἰόντα,
μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο·
τὴν δʼ ἐγὼ οὐ λύσω· πρίν μιν καὶ γῆρας ἔπεισιν
ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης
ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν·
ἀλλʼ ἴθι μή μʼ ἐρέθιζε σαώτερος ὥς κε νέηαι.
ὣς ἔφατʼ, ἔδεισεν δʼ ὃ γέρων καὶ ἐπείθετο μύθῳ·
βῆ δʼ ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης·
πολλὰ δʼ ἔπειτʼ ἀπάνευθε κιὼν ἠρᾶθʼ ὁ γεραιὸς","On this the rest of the Achaeans with one voice were for
      respecting the priest and taking the ransom that he offered; but
      not so Agamemnon, who spoke fiercely to him and sent him roughly
      away. “Old man,” said he, “let me not find you tarrying about our
      ships, nor yet coming hereafter. Your sceptre of the god and your
      wreath shall profit you nothing. I will not free her. She shall
      grow old in my house at Argos far from her own home, busying
      herself with her loom and visiting my couch; so go, and do not
      provoke me or it shall be the worse for you.”",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,91731d8521f9f89792d8ca3b9d6dcbd03f41b4e37459da94bea7035812ed55d5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-01--segment-005,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,1,5,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,1.36,1.44,9,0,5,331,424,94,1871,2398,"Ἀπόλλωνι ἄνακτι, τὸν ἠΰκομος τέκε Λητώ·
κλῦθί μευ ἀργυρότοξʼ, ὃς Χρύσην ἀμφιβέβηκας
Κίλλαν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,
Σμινθεῦ εἴ ποτέ τοι χαρίεντʼ ἐπὶ νηὸν ἔρεψα,
ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρίʼ ἔκηα
ταύρων ἠδʼ αἰγῶν, τὸ δέ μοι κρήηνον ἐέλδωρ·
τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν.
ὣς ἔφατʼ εὐχόμενος, τοῦ δʼ ἔκλυε Φοῖβος Ἀπόλλων,
βῆ δὲ κατʼ Οὐλύμποιο καρήνων χωόμενος κῆρ,","The old man feared him and obeyed. Not a word he spoke, but went
      by the shore of the sounding sea and prayed apart to King Apollo
      whom lovely Leto had borne. “Hear me,” he cried, “O god of the
      silver bow, that protectest Chryse and holy Cilla and rulest
      Tenedos with thy might, hear me oh thou of Sminthe. If I have
      ever decked your temple with garlands, or burned your thigh-bones
      in fat of bulls or goats, grant my prayer, and let your arrows
      avenge these my tears upon the Danaans.”",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,91731d8521f9f89792d8ca3b9d6dcbd03f41b4e37459da94bea7035812ed55d5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-01--segment-006,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,1,6,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,1.45,1.55,11,0,6,425,525,101,2406,2973,"τόξʼ ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην·
ἔκλαγξαν δʼ ἄρʼ ὀϊστοὶ ἐπʼ ὤμων χωομένοιο,
αὐτοῦ κινηθέντος· ὃ δʼ ἤϊε νυκτὶ ἐοικώς.
ἕζετʼ ἔπειτʼ ἀπάνευθε νεῶν, μετὰ δʼ ἰὸν ἕηκε·
δεινὴ δὲ κλαγγὴ γένετʼ ἀργυρέοιο βιοῖο·
οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς,
αὐτὰρ ἔπειτʼ αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶς
βάλλʼ· αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί.
ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο,
τῇ δεκάτῃ δʼ ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύς·
τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος Ἥρη·","Thus did he pray, and Apollo heard his prayer. He came down
      furious from the summits of Olympus, with his bow and his quiver
      upon his shoulder, and the arrows rattled on his back with the
      rage that trembled within him. He sat himself down away from the
      ships with a face as dark as night, and his silver bow rang death
      as he shot his arrow in the midst of them. First he smote their
      mules and their hounds, but presently he aimed his shafts at the
      people themselves, and all day long the pyres of the dead were
      burning.",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,91731d8521f9f89792d8ca3b9d6dcbd03f41b4e37459da94bea7035812ed55d5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-01--segment-007,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,1,7,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,1.56,1.60,5,0,7,526,575,50,2981,3278,"κήδετο γὰρ Δαναῶν, ὅτι ῥα θνήσκοντας ὁρᾶτο.
οἳ δʼ ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τε γένοντο,
τοῖσι δʼ ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύς·
Ἀτρεΐδη νῦν ἄμμε παλιμπλαγχθέντας ὀΐω
ἂψ ἀπονοστήσειν, εἴ κεν θάνατόν γε φύγοιμεν,","For nine whole days he shot his arrows among the people, but upon
      the tenth day Achilles called them in assembly—moved thereto by
      Juno, who saw the Achaeans in their death-throes and had
      compassion upon them. Then, when they were got together, he rose
      and spoke among them.",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,91731d8521f9f89792d8ca3b9d6dcbd03f41b4e37459da94bea7035812ed55d5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-01--segment-008,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,1,8,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,1.61,1.71,11,0,8,576,675,100,3286,3833,"εἰ δὴ ὁμοῦ πόλεμός τε δαμᾷ καὶ λοιμὸς Ἀχαιούς·
ἀλλʼ ἄγε δή τινα μάντιν ἐρείομεν ἢ ἱερῆα
ἢ καὶ ὀνειροπόλον, καὶ γάρ τʼ ὄναρ ἐκ Διός ἐστιν,
ὅς κʼ εἴποι ὅ τι τόσσον ἐχώσατο Φοῖβος Ἀπόλλων,
εἴτʼ ἄρʼ ὅ γʼ εὐχωλῆς ἐπιμέμφεται ἠδʼ ἑκατόμβης,
αἴ κέν πως ἀρνῶν κνίσης αἰγῶν τε τελείων
βούλεται ἀντιάσας ἡμῖν ἀπὸ λοιγὸν ἀμῦναι.
ἤτοι ὅ γʼ ὣς εἰπὼν κατʼ ἄρʼ ἕζετο· τοῖσι δʼ ἀνέστη
Κάλχας Θεστορίδης οἰωνοπόλων ὄχʼ ἄριστος,
ὃς ᾔδη τά τʼ ἐόντα τά τʼ ἐσσόμενα πρό τʼ ἐόντα,
καὶ νήεσσʼ ἡγήσατʼ Ἀχαιῶν Ἴλιον εἴσω","“Son of Atreus,” said he, “I deem that we should now turn roving
      home if we would escape destruction, for we are being cut down by
      war and pestilence at once. Let us ask some priest or prophet, or
      some reader of dreams (for dreams, too, are of Jove) who can tell
      us why Phoebus Apollo is so angry, and say whether it is for some
      vow that we have broken, or hecatomb that we have not offered,
      and whether he will accept the savour of lambs and goats without
      blemish, so as to take away the plague from us.”",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,91731d8521f9f89792d8ca3b9d6dcbd03f41b4e37459da94bea7035812ed55d5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-01--segment-009,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,1,9,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,1.72,1.77,6,0,9,676,732,57,3841,4194,"ἣν διὰ μαντοσύνην, τήν οἱ πόρε Φοῖβος Ἀπόλλων·
ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν·
ὦ Ἀχιλεῦ κέλεαί με Διῒ φίλε μυθήσασθαι
μῆνιν Ἀπόλλωνος ἑκατηβελέταο ἄνακτος·
τοὶ γὰρ ἐγὼν ἐρέω· σὺ δὲ σύνθεο καί μοι ὄμοσσον
ἦ μέν μοι πρόφρων ἔπεσιν καὶ χερσὶν ἀρήξειν·","With these words he sat down, and Calchas son of Thestor, wisest
      of augurs, who knew things past present and to come, rose to
      speak. He it was who had guided the Achaeans with their fleet to
      Ilius, through the prophesyings with which Phoebus Apollo had
      inspired him. With all sincerity and goodwill he addressed them
      thus:—",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,91731d8521f9f89792d8ca3b9d6dcbd03f41b4e37459da94bea7035812ed55d5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-01--segment-010,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,1,10,source_line_range_to_translation_paragraph,proportional_translation_paragraph_tokens_v1,1.78,1.86,9,0,10,733,826,94,4202,4739,"ἦ γὰρ ὀΐομαι ἄνδρα χολωσέμεν, ὃς μέγα πάντων
Ἀργείων κρατέει καί οἱ πείθονται Ἀχαιοί·
κρείσσων γὰρ βασιλεὺς ὅτε χώσεται ἀνδρὶ χέρηϊ·
εἴ περ γάρ τε χόλον γε καὶ αὐτῆμαρ καταπέψῃ,
ἀλλά τε καὶ μετόπισθεν ἔχει κότον, ὄφρα τελέσσῃ,
ἐν στήθεσσιν ἑοῖσι· σὺ δὲ φράσαι εἴ με σαώσεις.
τὸν δʼ ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς·
θαρσήσας μάλα εἰπὲ θεοπρόπιον ὅ τι οἶσθα·
οὐ μὰ γὰρ Ἀπόλλωνα Διῒ φίλον, ᾧ τε σὺ Κάλχαν","“Achilles, loved of heaven, you bid me tell you about the anger
      of King Apollo, I will therefore do so; but consider first and
      swear that you will stand by me heartily in word and deed, for I
      know that I shall offend one who rules the Argives with might, to
      whom all the Achaeans are in subjection. A plain man cannot stand
      against the anger of a king, who if he swallow his displeasure
      now, will yet nurse revenge till he has wreaked it. Consider,
      therefore, whether or no you will protect me.”",8c3449bb2b6522f93820f519976ada07a0dfa029c9e5597b455c7b7ac1a1cd48,91731d8521f9f89792d8ca3b9d6dcbd03f41b4e37459da94bea7035812ed55d5,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,machine_proposed_unreviewed,pending_human_review,no,excluded_until_human_review
