source_id,work_id,rule_id,segmentation_method,prepared_translation_path,prepared_translation_sha256,book_path,book_bytes,book_sha256,book_count,token_count,internal_paratext_policy,excluded_paragraph_count,text_stage,alignment_level,rights_status,machine_human_status,paper_facing_eligible
homer-iliad-en-butler-pg2199,homer-iliad,gutenberg-book-heading-skip-summary-v1,gutenberg_book_heading_v1,data/prepared/translations/homer-iliad-en-butler-pg2199.txt,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,data/prepared/translation_books/homer-iliad-en-butler-pg2199.books.csv,895983,369b4f734c7c169a867c4d13c819f8636c242f6fb57a5e899f582ba73abb4540,24,153268,retain_all,0,prepared_translation_books,book,public_domain_us,human_published,yes
homer-iliad-en-pope-pg6130,homer-iliad,gutenberg-pope-book-paratext-v1,gutenberg_book_heading_v1,data/prepared/translations/homer-iliad-en-pope-pg6130.txt,450bc40745cb7846ce1acbf5a3068493ea180fa59597291d03d870b27872ad7d,data/prepared/translation_books/homer-iliad-en-pope-pg6130.books.csv,866666,b3d46a34c9271c4eeeb6bcf8cd3abd73e07a4716d1bcb00058d3bd825d06611d,24,146800,strip_gutenberg_illustration_paragraphs_v1,71,prepared_translation_books,book,public_domain_us,human_published,yes
