source_id,work_id,target_language_code,translator,translation_title,edition,publication_date,raw_path,raw_sha256,prepared_path,prepared_bytes,prepared_sha256,prepared_line_count,body_start_line,body_end_line,removed_prefix_lines,removed_suffix_lines,body_start_marker,body_start_marker_occurrence,body_end_marker,text_stage,front_back_matter_status,rights_status,machine_human_status,paper_facing_eligible
homer-iliad-en-butler-pg2199,homer-iliad,en,Samuel Butler,The Iliad,Project Gutenberg eBook #2199 plain-text edition,2000-06-01,data/raw/translations/homer-iliad-en-butler-pg2199.txt,72673dcefeaa5d302b4ac1cc9ce6fd0b236831e816de41391e5cfe138ab5b077,data/prepared/translations/homer-iliad-en-butler-pg2199.txt,908701,a7ef38f74d3c43a294249f901921449f8c3366d0de0a846f5cd305ebd66f5854,14515,77,14591,76,357,BOOK I.,2,*** END OF THE PROJECT GUTENBERG EBOOK THE ILIAD ***,prepared_translation_body,stripped,public_domain_us,human_published,yes
homer-iliad-en-pope-pg6130,homer-iliad,en,Alexander Pope,The Iliad,Project Gutenberg eBook #6130 plain-text edition,2004-07-01,data/raw/translations/homer-iliad-en-pope-pg6130.txt,ca4f23115b384b0219427ef208e875f0351820b8f80f28259272997ea581c36b,data/prepared/translations/homer-iliad-en-pope-pg6130.txt,911109,450bc40745cb7846ce1acbf5a3068493ea180fa59597291d03d870b27872ad7d,21257,2034,23290,2033,2770,THE ILIAD.,1,CONCLUDING NOTE.,prepared_translation_body,stripped,public_domain_us,human_published,yes
